categoria,pedidos,receita,ticket_medio,nota_media
health_beauty,8757,1254675.0,143.28,4.23
watches_gifts,5602,1202621.0,214.68,4.12
bed_bath_table,9324,1037198.0,111.24,4.01
sports_leisure,7664,984389.0,128.44,4.23
computers_accessories,6652,910274.0,136.84,4.08
furniture_decor,6279,721787.0,114.95,4.08
cool_stuff,3595,634349.0,176.45,4.23
housewares,5812,630659.0,108.51,4.2
auto,3869,591284.0,152.83,4.15
garden_tools,3464,481227.0,138.92,4.2
toys,3845,480229.0,124.9,4.24
baby,2826,410825.0,145.37,4.12
perfumery,3115,392656.0,126.05,4.27
telephony,4169,322683.0,77.4,4.06
office_furniture,1264,273630.0,216.48,3.64
stationery,2291,231166.0,100.9,4.31
computers,181,223041.0,1232.27,4.22
pet_shop,1700,213887.0,125.82,4.28
musical_instruments,625,191653.0,306.64,4.24
small_appliances,627,190228.0,303.39,4.27
desconhecida,1413,180216.0,127.54,4.04
electronics,2533,159075.0,62.8,4.13
consoles_games,1047,153695.0,146.8,4.18
fashion_bags_accessories,1846,152313.0,82.51,4.24
construction_tools_construction,736,144539.0,196.39,4.15
luggage_accessories,1027,140327.0,136.64,4.37
home_appliances_2,234,113360.0,484.44,4.15
home_construction,479,83731.0,174.8,4.03
home_appliances,764,80172.0,104.94,4.21
agro_industry_and_commerce,182,72530.0,398.52,4.11
furniture_living_room,417,69665.0,167.06,4.07
home_confort,375,59124.0,157.66,3.92
fixed_telephony,212,58958.0,278.1,3.97
air_conditioning,247,53311.0,215.83,4.12
audio,344,49943.0,145.18,3.85
small_appliances_home_oven_and_coffee,75,47446.0,632.61,4.43
books_general_interest,508,46750.0,92.03,4.54
kitchen_dining_laundry_garden_furniture,243,46092.0,189.68,4.15
construction_tools_safety,162,40251.0,248.46,4.02
construction_tools_lights,232,40217.0,173.35,4.22
industry_commerce_and_business,230,39198.0,170.42,4.25
food,444,29004.0,65.32,4.34
market_place,267,26694.0,99.98,4.13
costruction_tools_garden,190,26189.0,137.84,4.28
art,200,24445.0,122.23,4.09
fashion_shoes,237,23464.0,99.0,4.29
drinks,292,22479.0,76.98,4.24
signaling_and_security,139,21433.0,154.2,4.14
furniture_bedroom,95,20160.0,212.21,4.26
books_technical,257,18837.0,73.3,4.42
costruction_tools_tools,97,15904.0,163.96,4.43
food_drink,225,15233.0,67.7,4.45
fashion_male_clothing,111,10823.0,97.5,3.82
fashion_underwear_beach,121,9542.0,78.86,4.01
christmas_supplies,127,8775.0,69.1,4.11
tablets_printing_image,78,7540.0,96.67,4.14
cine_photo,64,7019.0,109.68,4.39
dvds_blu_ray,58,6014.0,103.7,4.18
music,36,5956.0,165.46,4.39
books_imported,53,4652.0,87.78,4.44
party_supplies,38,4405.0,115.93,4.08
furniture_mattress_and_upholstery,38,4368.0,114.95,3.89
portateis_cozinha_e_preparadores_de_alimentos,14,3969.0,283.47,3.62
fashio_female_clothing,37,2684.0,72.54,3.97
la_cuisine,13,2167.0,166.69,4.25
fashion_sport,26,2125.0,81.71,4.44
arts_and_craftmanship,22,1824.0,82.91,4.32
pc_gamer,8,1571.0,196.37,3.43
diapers_and_hygiene,26,1433.0,55.1,3.96
flowers,29,1239.0,42.71,4.39
home_comfort_2,22,734.0,33.38,3.9
cds_dvds_musicals,12,730.0,60.83,4.67
fashion_childrens_clothes,8,640.0,79.98,5.0
security_and_services,2,283.0,141.64,2.5
